Name;Parent;Level;Occurance;Type;Min;Max;Description
MATERIAL_GUID;E1BPE1MPGDRT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MPGDRT;3;0..1;String;;10;Nº de versão para campo MATERIAL
PLNG_MATL_EXTERNAL;E1BPE1MPGDRT;3;0..1;String;;40;Nº de material longo para o campo PLNG_MATL
PLNG_MATL_GUID;E1BPE1MPGDRT;3;0..1;String;;32;GUID externo para campo PLNG_MATL
PLNG_MATL_VERSION;E1BPE1MPGDRT;3;0..1;String;;10;Nº de versão para campo PLNG_MATL
MATERIAL_LONG;E1BPE1MPGDRT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
PLNG_MATL_LONG;E1BPE1MPGDRT;3;0..1;String;;40;Material planejado
E1BPE1MPGDRTX;IDOC;2;0..999999;Complex;;;Transf.dados varejo - barra de seleção para BAPIE1MPGDRT
FUNCTION;E1BPE1MPGDRTX;3;0..1;String;;3;Função
MATERIAL;E1BPE1MPGDRTX;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MPGDRTX;3;0..1;String;;4;Centro
PLNG_MATL;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PLNG_PLANT;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
CONVFACTOR;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MATERIAL_EXTERNAL;E1BPE1MPGDRTX;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MPGDRTX;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MPGDRTX;3;0..1;String;;10;Nº de versão para campo MATERIAL
PLNG_MATL_EXTERNAL;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PLNG_MATL_GUID;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PLNG_MATL_VERSION;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MATERIAL_LONG;E1BPE1MPGDRTX;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
PLNG_MATL_LONG;E1BPE1MPGDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
E1BPE1MARDRT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - dados de material a nível de depósito
FUNCTION;E1BPE1MARDRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MARDRT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MARDRT;3;0..1;String;;4;Centro
STGE_LOC;E1BPE1MARDRT;3;0..1;String;;4;Depósito
DEL_FLAG;E1BPE1MARDRT;3;0..1;String;;1;Marcar mat.para eliminação a nível de depósito
MRP_IND;E1BPE1MARDRT;3;0..1;String;;1;Código MRP depósito
SPEC_PROC;E1BPE1MARDRT;3;0..1;String;;2;Tipo de suprimento especial: depósito
REORDER_PT;E1BPE1MARDRT;3;0..1;String;;15;Ponto de reabastecimento para planejamento de depósito
REPL_QTY;E1BPE1MARDRT;3;0..1;String;;15;Quantidade de reposição para MRP depósito
STGE_BIN;E1BPE1MARDRT;3;0..1;String;;10;Posição no depósito
PICKG_AREA;E1BPE1MARDRT;3;0..1;String;;3;Área de picking para lean WM
MATERIAL_EXTERNAL;E1BPE1MARDRT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MARDRT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MARDRT;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MARDRT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MARDRTX;IDOC;2;0..999999;Complex;;;Transf.dados varejo - barra de seleção para BAPIE1MARDRT
FUNCTION;E1BPE1MARDRTX;3;0..1;String;;3;Função
MATERIAL;E1BPE1MARDRTX;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MARDRTX;3;0..1;String;;4;Centro
STGE_LOC;E1BPE1MARDRTX;3;0..1;String;;4;Depósito
DEL_FLAG;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MRP_IND;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
SPEC_PROC;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
REORDER_PT;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
REPL_QTY;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
STGE_BIN;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PICKG_AREA;E1BPE1MARDRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
MATERIAL_EXTERNAL;E1BPE1MARDRTX;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MARDRTX;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MARDRTX;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MARDRTX;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MARDEXTRT;IDOC;2;0..999999;Complex;;;Transf.dados Retail - dados do cliente a nível de depósito
FUNCTION;E1BPE1MARDEXTRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MARDEXTRT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MARDEXTRT;3;0..1;String;;4;Centro
STGE_LOC;E1BPE1MARDEXTRT;3;0..1;String;;4;Depósito
FIELD1;E1BPE1MARDEXTRT;3;0..1;String;;221;Container para dados caractere do comprimento 221
FIELD2;E1BPE1MARDEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD3;E1BPE1MARDEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD4;E1BPE1MARDEXTRT;3;0..1;String;;250;Container para dados caractere do comprimento 250
E1BPE1MARDEXTRT1;E1BPE1MARDEXTRT;3;0..1;Complex;;;Transf.dados Retail - dados do cliente a nível de depósito
MATERIAL_EXTERNAL;E1BPE1MARDEXTRT1;4;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MARDEXTRT1;4;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MARDEXTRT1;4;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MARDEXTRT1;4;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MARDEXTRTX;IDOC;2;0..999999;Complex;;;Transf.dados Retail - barra de seleção para BAPIE1MARDEXTRT
FUNCTION;E1BPE1MARDEXTRTX;3;0..1;String;;3;Função
MATERIAL;E1BPE1MARDEXTRTX;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MARDEXTRTX;3;0..1;String;;4;Centro
STGE_LOC;E1BPE1MARDEXTRTX;3;0..1;String;;4;Depósito
FIELD1;E1BPE1MARDEXTRTX;3;0..1;String;;221;Container para dados caractere do comprimento 221
FIELD2;E1BPE1MARDEXTRTX;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD3;E1BPE1MARDEXTRTX;3;0..1;String;;250;Container para dados caractere do comprimento 250
FIELD4;E1BPE1MARDEXTRTX;3;0..1;String;;250;Container para dados caractere do comprimento 250
E1BPE1MARDEXTRTX1;E1BPE1MARDEXTRTX;3;0..1;Complex;;;Transf.dados Retail - barra de seleção para BAPIE1MARDEXTRT
MATERIAL_EXTERNAL;E1BPE1MARDEXTRTX1;4;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MARDEXTRTX1;4;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MARDEXTRTX1;4;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MARDEXTRTX1;4;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MARMRT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - unidades de medida
FUNCTION;E1BPE1MARMRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MARMRT;3;0..1;String;;18;Nº do material
ALT_UNIT;E1BPE1MARMRT;3;0..1;String;;3;Unidade medida alternativa p/unid.gestão estoque
ALT_UNIT_ISO;E1BPE1MARMRT;3;0..1;String;;3;UM alternativa para a unidade gestão de estoque em code ISO
NUMERATOR;E1BPE1MARMRT;3;0..1;String;;6;Contador para a conversão em UMs básicas
DENOMINATR;E1BPE1MARMRT;3;0..1;String;;6;Denominador para a conversão em unidades de medida básicas
EAN_UPC;E1BPE1MARMRT;3;0..1;String;;18;Nº europeu do artigo (EAN)
EAN_CAT;E1BPE1MARMRT;3;0..1;String;;2;Ctg.de número do nº europeu do artigo
LENGTH;E1BPE1MARMRT;3;0..1;String;;15;Comprimento
